GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpClientFactory,157,4,6,0,42,1,7,1,4,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository,479,0,30,0,92,0,25,0,10,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpConnectionProperties,65,0,0,0,25,0,13,0,13,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchMessage,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentToolResponseMessage,5,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpConnectionException,9,0,0,0,4,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ThinkingToken,0,6,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchCommandService,162,0,8,0,45,0,9,0,5,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.MessageComplete,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolCall,0,9,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,ChatProgressCollector,6,2,0,0,5,2,5,2,5,2
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,SimpleLoggerAdvisor,76,0,8,0,21,0,14,0,10,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.Reply,0,21,0,0,0,1,0,1,0,1
